age,fnlwgt,capital-gain,educational-num,hours-per-week,target
68,242095,20051,13,40,1
29,159473,0,9,40,0
28,490332,3103,13,40,1
44,115932,0,14,40,0
34,179673,7688,15,60,1
20,289982,0,9,10,0
23,215395,0,9,40,0
45,315984,7688,9,50,1
34,137991,0,13,35,0
34,87310,2174,9,40,0
35,99357,0,13,40,1
30,209317,0,9,50,0
52,279543,0,10,60,1
40,143069,0,9,40,0
21,251603,0,9,40,0
60,123190,0,5,67,1
39,48915,0,9,40,1
19,25429,0,10,16,0
30,248584,0,10,40,0
29,253752,0,6,40,0
34,62124,0,9,40,0
28,203710,0,13,40,0
49,32184,0,9,36,0
45,127089,0,14,45,0
30,182714,0,10,40,0
52,321959,0,10,40,1
48,154033,0,9,52,0
52,317625,0,14,40,0
29,185127,0,9,50,0
29,264961,0,9,45,0
38,149771,3325,9,40,0
19,376683,0,9,35,0
57,222477,15024,10,8,1
49,181657,0,10,50,0
33,251521,0,7,35,0
28,187981,0,9,40,0
22,356567,0,11,60,0
58,258883,0,13,60,1
20,257470,0,10,20,0
35,133906,0,9,40,0
22,38251,0,12,35,0
69,185039,9386,9,12,1
54,230919,0,9,40,0
49,228583,0,9,40,0
64,189634,0,10,50,0
39,267412,0,11,60,0
21,91819,0,11,30,0
31,168906,0,12,35,0
30,193380,0,13,35,0
53,96062,0,10,40,0
41,220460,0,9,40,0
33,185336,0,11,40,0
47,483596,2885,9,32,0
76,25319,0,14,15,0
40,86912,0,16,50,1
33,123920,0,10,40,0
51,357949,0,13,16,0
32,134886,0,9,40,1
42,221581,0,9,40,0
40,137421,0,9,60,0
33,251117,0,3,40,0
59,207391,0,9,40,0
27,115945,0,14,45,1
61,132972,0,5,40,0
43,131650,0,10,40,1
59,170104,0,13,50,1
20,117476,0,10,40,0
40,421837,0,9,50,1
42,884434,0,10,40,0
49,131826,99999,15,50,1
18,20057,0,4,40,0
43,160943,0,9,40,1
53,200190,0,12,80,1
35,273612,0,13,45,0
49,177543,0,9,35,0
37,183800,0,13,40,1
19,234151,0,9,40,0
34,513977,0,9,50,0
50,117295,0,6,40,0
27,192236,0,13,45,0
52,72036,0,11,25,0
31,185732,0,9,30,0
31,198069,0,9,24,0
38,335104,0,13,35,0
42,160369,0,9,40,1
56,163212,99999,9,40,1
45,311671,3908,11,40,0
32,262153,0,9,35,0
54,36480,15024,9,50,1
35,263081,0,9,60,1
31,248178,0,10,35,0
42,208726,0,10,45,0
19,84250,0,10,15,0
67,176388,0,9,45,0
33,392812,0,10,45,1
35,316141,7443,10,40,0
47,206659,0,10,40,0
26,523067,0,10,3,0
57,322691,0,11,40,1
27,74056,0,11,48,0
43,206927,15024,13,50,1
46,243190,7688,9,40,1
35,65876,0,11,42,1
59,296253,0,9,40,0
26,247455,5178,13,42,1
71,422149,20051,10,40,1
23,173851,0,10,40,0
31,169583,0,9,40,0
52,167794,0,16,38,1
62,223163,0,10,40,1
56,187355,0,10,60,1
54,82551,0,11,10,0
23,32950,0,10,40,0
32,188154,0,10,40,0
45,40666,0,13,40,0
57,89182,0,9,40,0
48,253596,0,13,48,0
38,91857,0,10,41,0
19,39477,0,9,40,0
26,53833,0,9,40,0
25,152246,0,10,40,0
67,227113,0,14,40,0
34,362775,0,6,30,0
34,177675,0,10,50,1
23,189203,0,11,50,0
50,269095,0,13,40,1
57,194161,0,9,42,1
28,419146,0,4,40,0
51,200618,0,13,40,0
32,265638,0,10,60,0
48,102359,0,9,40,0
48,141511,0,6,45,1
18,155752,0,9,30,0
56,243076,0,10,40,0
37,175614,0,6,40,0
40,150533,0,13,40,0
33,170336,0,9,19,0
47,220269,0,10,40,1
46,57929,0,9,25,0
44,107584,3908,14,50,0
52,386397,0,13,45,1
75,242108,2346,9,15,0
61,195453,0,9,50,1
81,240414,0,13,30,0
34,83066,0,9,40,0
46,216414,0,11,40,0
62,215944,0,3,30,0
47,178341,0,6,46,1
49,124672,0,9,40,1
23,214542,0,10,20,0
48,98010,0,14,16,1
24,395297,0,10,30,0
47,78954,0,7,28,0
31,219509,0,9,40,1
33,103435,0,11,45,0
22,369387,0,7,35,0
43,129853,0,6,40,0
37,46814,0,13,38,0
50,174855,0,9,40,0
26,310907,0,10,35,0
27,588905,0,9,40,0
53,209906,0,2,35,0
29,199499,0,11,40,0
62,93997,99999,16,40,1
53,92968,0,12,40,0
29,179768,0,10,50,0
41,220132,7298,9,40,1
47,97883,25236,13,35,1
31,119411,0,9,50,0
50,217577,0,9,40,0
30,173350,0,11,40,0
38,213716,0,11,30,0
71,105200,6767,9,20,0
69,230417,0,16,40,1
44,190531,0,13,35,0
33,133503,0,9,45,1
38,472604,0,13,35,0
39,179579,0,9,40,0
51,189183,0,13,40,0
35,198202,0,9,54,0
40,272343,0,9,40,1
42,319588,0,13,60,0
44,182402,0,9,40,1
38,33001,0,13,55,1
37,232036,0,10,40,0
36,36989,0,10,40,0
24,317175,0,13,45,1
41,119721,0,9,40,0
44,203943,0,13,35,1
21,57298,0,10,35,0
63,154526,0,10,40,0
35,668319,0,13,80,0
21,63899,0,7,40,0
32,34437,0,9,40,0
34,499249,0,9,40,0
28,329426,0,13,40,0
45,259412,99999,15,50,1
25,210794,0,13,40,0
51,381769,0,9,50,0
21,348092,0,9,40,0
56,52822,0,10,70,0
31,220915,0,11,40,0
26,216522,0,13,42,0
58,215190,0,7,20,0
37,241463,0,9,65,1
43,172577,0,10,44,0
55,175071,15024,10,40,1
40,48087,7298,9,45,1
26,179010,0,10,65,0
22,187052,0,7,30,0
48,370119,0,10,40,1
20,188612,0,10,38,0
24,103064,3674,13,40,0
38,320811,0,9,50,1
61,160431,0,9,40,0
30,175323,0,11,52,0
70,142851,0,5,18,0
44,370502,0,9,25,0
24,417668,0,13,20,0
31,162442,0,13,40,1
34,97723,0,13,40,1
62,116812,0,10,40,0
32,256362,0,9,40,1
41,557349,0,9,40,1
19,323810,0,6,40,0
17,98572,0,7,20,0
29,446724,0,13,35,0
53,47396,0,10,50,1
42,99254,0,12,40,1
46,139946,0,9,38,1
24,160122,0,13,20,0
32,312667,2174,13,55,0
34,127875,0,13,20,0
41,229148,0,9,60,0
30,427541,99999,9,40,1
48,56841,0,10,40,0
24,79160,0,9,40,0
50,94391,0,11,50,1
26,130302,0,13,40,0
34,143766,0,12,40,0
37,215419,0,12,25,0
35,177974,0,9,40,1
37,176357,0,10,40,0
33,48189,0,9,30,0
24,43475,0,13,40,0
23,320294,0,9,40,0
45,111994,0,14,40,1
17,205726,0,7,15,0
60,119832,0,13,40,0
37,112497,0,13,60,0
19,194905,0,10,30,0
45,149865,0,13,60,1
54,99185,0,13,40,1
36,169469,7298,10,40,1
36,183279,0,9,40,0
43,272165,0,5,40,0
52,416129,0,1,40,0
48,165484,0,13,65,1
59,108929,0,16,50,0
31,90668,0,6,40,0
39,73471,0,9,45,0
48,278039,0,4,40,0
25,67467,0,9,40,0
37,178876,0,9,40,0
30,161153,0,9,40,0
47,55377,0,13,40,1
62,177493,0,8,30,0
43,184846,0,9,60,0
22,208946,0,10,40,0
31,487742,0,10,40,0
46,225456,0,9,40,0
37,137314,0,9,60,0
38,73471,0,10,50,0
53,208402,4865,10,45,0
34,49469,0,9,50,0
39,112284,0,14,40,0
29,298696,0,10,40,0
48,117310,0,9,20,0
21,200089,0,2,40,0
48,241854,0,14,55,1
24,138719,0,7,20,0
27,188519,0,9,40,0
20,162945,0,10,40,0
82,132870,0,9,18,0
47,200808,0,7,35,0
19,178811,0,9,40,0
21,63665,0,10,15,0
38,682947,0,13,55,1
21,200153,0,9,32,0
37,335168,0,10,55,0
44,203761,0,10,45,1
39,99065,0,13,40,1
61,133969,0,9,63,0
32,513416,0,14,10,0
20,380544,0,12,20,0
38,247547,0,11,40,0
46,269890,0,13,40,0
21,153643,0,9,70,0
40,77975,0,9,40,0
29,59732,0,9,40,0
36,199501,0,10,38,0
28,327533,3908,9,40,0
84,388384,0,4,10,0
35,209609,0,9,60,0
36,218689,0,14,50,1
38,423616,0,11,36,1
44,75742,0,13,40,0
27,105830,0,13,60,0
40,224910,0,9,40,0
32,108247,3103,10,40,1
40,220589,0,12,40,0
24,406641,0,9,50,0
39,67317,0,10,40,0
23,107578,2174,13,40,0
39,42478,0,13,40,0
47,103743,0,4,40,0
46,207022,7688,13,40,1
24,199694,0,12,30,0
26,188626,0,9,48,0
25,104830,0,13,15,0
46,168069,0,9,45,0
23,120172,0,9,48,0
30,167476,0,10,50,0
46,226032,0,13,16,1
75,233362,0,6,40,0
63,147140,0,4,60,1
23,444554,0,9,50,0
52,203635,0,13,65,1
36,209993,0,2,20,0
51,35295,0,9,45,0
46,409443,0,3,25,0
18,200290,0,9,35,0
45,140644,0,9,40,0
37,29054,0,9,50,0
49,155862,0,9,50,1
57,98926,0,10,16,0
26,183965,0,9,40,0
23,62278,0,9,40,0
23,201145,0,9,65,0
39,110426,15024,12,45,1
26,106406,0,10,40,0
56,233312,0,14,50,1
62,135480,0,9,16,0
41,168293,0,14,45,0
57,151474,0,9,40,0
62,175032,0,9,42,0
30,132565,0,10,40,0
17,165918,0,7,20,0
47,34458,0,9,40,0
44,149943,0,15,60,1
60,199378,0,9,40,0
45,252616,0,4,36,0
47,193960,7298,10,45,1
19,150384,0,9,40,0
25,199143,0,9,40,0
58,284834,0,12,40,0
20,186014,0,9,38,0
54,305319,0,13,70,0
30,159888,0,13,60,1
43,96249,0,9,42,1
35,122493,0,11,40,0
34,30497,15024,13,60,1
26,178037,0,13,40,0
47,111797,0,10,35,0
51,189551,0,9,40,0
33,132832,0,9,50,0
39,222204,3325,10,40,0
51,165278,0,11,46,1
34,115488,0,9,40,0
18,70021,0,7,15,0
49,390746,0,13,45,0
53,287927,0,9,60,0
35,42044,0,9,30,0
77,189173,0,9,35,0
56,359972,0,14,60,1
17,134480,0,7,25,0
72,75594,2653,10,40,0
47,102308,0,15,45,1
39,191502,0,11,40,0
50,116287,0,12,60,0
42,219591,0,13,55,1
39,99065,0,10,39,0
17,201412,594,6,5,0
30,163867,0,9,40,0
39,110861,0,13,50,1
44,254146,0,14,40,1
37,127772,0,13,40,0
48,328606,0,9,40,0
21,253190,0,9,40,0
29,177413,0,9,40,1
44,160919,0,9,30,0
42,231832,0,10,45,1
29,140830,0,9,40,0
34,167049,0,13,20,1
23,219122,0,10,40,0
36,224531,0,9,40,1
32,49593,0,9,40,0
39,156667,0,9,18,0
59,100313,0,9,40,1
41,220821,7688,13,40,1
27,491421,0,3,50,0
30,49795,0,9,40,0
24,199555,0,11,5,0
42,32546,7430,15,40,1
48,26502,0,9,40,0
28,150309,0,9,45,0
78,82815,0,10,3,1
33,149910,0,9,40,0
29,220656,0,13,40,1
22,335067,0,13,20,0
45,230979,0,10,40,0
57,258121,0,13,50,0
34,75454,0,8,40,0
53,234721,0,7,40,0
40,325159,0,10,50,1
32,115963,0,9,50,0
17,169037,0,7,40,0
36,107302,0,14,60,1
39,453686,0,13,40,1
40,151365,0,9,40,0
25,321223,0,10,20,0
72,284080,0,2,40,0
61,227468,0,9,40,0
39,178948,0,9,50,0
39,421633,0,10,30,0
26,160445,0,9,40,0
44,100584,0,9,40,0
29,214689,0,13,40,0
58,300623,0,9,40,0
56,90017,0,4,40,0
36,218729,0,10,30,1
61,103575,0,10,40,0
46,168211,5013,10,60,0
51,270194,0,5,40,0
34,107624,0,10,50,0
36,288049,0,9,45,0
20,352139,0,10,29,0
27,247819,0,10,15,0
38,314007,5178,10,40,1
42,261929,7688,13,40,1
50,99894,0,3,15,0
18,243240,0,10,15,0
26,122206,0,9,40,0
40,144928,0,10,40,0
48,43206,0,15,25,0
63,246841,0,9,40,0
22,227943,0,10,40,0
32,171091,0,9,50,1
42,230684,5178,9,50,1
31,57781,0,9,50,0
31,78291,0,13,40,0
44,195881,0,10,45,0
42,25240,0,11,40,0
36,180220,0,9,50,0
37,79586,0,13,40,0
40,300195,0,10,40,0
30,118500,0,10,40,0
23,53306,0,9,30,0
44,167265,0,14,60,1
73,33493,0,9,3,0
33,182556,0,8,40,0
39,122852,0,9,45,1
22,309348,0,10,15,0
31,145439,0,9,40,0
30,59951,0,10,40,0
46,164749,0,10,40,1
45,168191,15024,10,37,1
48,328581,0,7,40,0
20,347935,0,10,40,0
56,175127,0,9,35,0
24,32921,0,9,40,0
19,339123,0,10,40,0
31,168782,0,9,40,0
39,119098,0,11,40,0
51,180807,0,10,40,0
28,81540,0,9,40,0
45,185588,0,13,40,0
40,115331,0,9,35,0
32,196342,0,16,40,1
17,46402,0,4,8,0
22,202153,0,10,30,0
57,35884,0,9,40,0
28,429507,0,12,40,0
48,24366,0,11,40,0
34,96483,8614,12,60,1
57,316000,0,9,40,0
25,111675,0,10,43,0
18,174394,0,9,20,0
36,298624,0,10,30,1
34,159008,0,11,36,1
59,147707,0,9,40,0
46,316205,0,13,40,1
28,304960,0,12,40,0
52,380633,0,3,40,0
26,464552,0,5,45,0
39,57424,0,13,35,0
42,226388,0,9,52,0
41,324629,0,13,40,0
28,185061,0,7,40,0
19,157605,0,9,40,0
36,166115,0,10,56,0
47,209739,0,9,40,0
43,170230,0,13,60,0
34,113364,0,12,35,0
57,75673,0,10,40,0
60,93272,0,4,60,0
32,255004,0,9,50,0
51,143741,0,10,40,1
57,217692,0,9,38,0
37,39207,0,9,40,1
37,99452,0,10,55,1
34,183811,0,10,40,0
41,347890,0,9,40,0
41,197558,0,13,40,0
43,178417,0,13,40,0
41,210591,0,9,40,0
26,213258,0,9,65,0
27,110622,0,13,40,0
43,191196,0,10,55,1
36,168055,5178,13,40,1
34,327902,0,13,55,0
52,22428,0,13,60,1
24,180060,6849,14,90,0
32,270335,0,13,40,1
66,186324,0,13,5,1
49,90907,0,10,40,1
49,211762,0,9,40,1
40,210857,0,10,50,1
40,174395,0,9,60,0
33,112358,0,10,32,0
31,176410,0,9,38,0
25,335005,0,13,35,0
32,381583,0,9,40,0
39,162370,0,13,40,1
38,174717,0,13,50,1
27,189775,0,9,40,0
56,329059,0,9,40,1
47,114459,7688,14,45,1
26,220499,0,9,40,0
40,261497,0,9,35,0
36,111499,14084,14,40,1
35,166606,0,9,40,0
47,145041,0,9,40,1
43,213844,0,9,42,1
52,197515,0,9,40,0
20,105585,0,10,25,0
22,273675,0,9,35,0
52,590522,0,3,45,0
34,157747,0,13,40,1
51,89652,4787,9,24,1
35,232036,0,9,40,0
40,54102,0,10,20,0
27,192936,0,13,40,0
32,113543,0,15,40,1
74,145463,0,2,15,0
48,100067,0,10,40,0
26,104097,0,13,40,0
22,276133,0,9,50,0
28,60374,0,9,35,0
37,93225,0,12,45,0
30,137076,0,9,40,1
23,37783,0,10,40,0
46,56482,0,10,40,0
34,192900,0,10,35,0
21,246207,0,10,20,0
56,227972,15024,14,48,1
56,219762,0,9,35,0
34,206609,0,10,35,0
32,182975,0,10,20,0
50,330142,0,10,44,0
32,209691,0,13,42,1
47,203067,0,13,50,0
41,240124,0,10,50,0
44,297248,0,9,40,0
39,315640,0,13,60,0
31,256362,3908,13,50,0
71,235079,0,1,10,0
47,155107,0,9,40,0
31,104509,0,13,65,1
22,170800,0,11,12,0
27,72443,0,9,40,0
21,160968,0,10,40,0
21,225823,0,10,40,0
30,172748,0,9,40,0
59,160362,0,9,60,0
49,186256,0,15,40,1
53,106176,7298,14,60,1
30,340917,0,9,40,0
26,155752,0,10,40,0
37,433491,0,9,40,0
26,182194,0,12,40,0
35,194960,0,9,40,0
38,41591,0,13,30,0
52,185283,0,14,40,0
19,85690,0,9,30,0
49,366089,0,13,50,1
38,227615,0,2,40,0
44,150171,0,9,40,0
46,116635,0,13,36,0
51,204322,0,11,40,1
50,196232,7688,9,50,1
43,124692,0,13,40,1
46,140121,0,9,50,0
51,174754,0,9,38,0
44,151089,0,9,70,1
30,26252,0,12,40,0
61,266646,2290,3,40,0
57,47619,0,12,40,0
58,218764,0,11,45,0
39,82540,0,10,60,0
35,195253,0,10,60,0
52,143807,0,9,40,0
50,165001,0,13,50,0
18,182545,0,9,40,0
32,360761,0,9,60,1
60,204062,0,14,48,1
23,145111,0,9,50,0
31,106753,0,11,40,0
40,169031,0,9,40,0
49,246183,0,9,40,1
61,89686,0,9,48,0
42,328239,0,10,30,0
42,70655,0,9,44,0
54,202115,0,9,40,1
50,93705,0,10,40,0
19,183532,0,10,25,0
26,273792,0,10,20,0
26,37898,0,11,65,0
46,212162,0,3,40,0
65,226215,0,13,15,0
46,162030,0,9,43,0
36,184659,0,10,52,0
39,44041,0,12,60,0
26,93169,0,12,40,0
26,205109,0,14,40,0
22,239806,0,11,40,0
25,230200,0,13,40,0
32,173449,0,9,40,0
40,145441,0,13,40,1
25,257562,0,4,40,0
38,186959,0,13,50,0
28,190391,0,13,50,0
37,140854,0,13,50,1
58,78104,7298,10,60,1
48,148549,0,12,50,0
37,377798,3103,10,40,1
39,191503,0,3,40,0
24,221442,0,10,36,0
25,21472,0,10,22,0
34,35683,0,12,10,0
28,214702,0,13,60,0
64,278515,0,9,40,0
21,142766,0,10,10,0
33,272411,0,13,40,0
28,271466,0,9,45,1
17,295120,0,7,20,0
27,199998,0,9,32,0
53,132304,0,10,40,0
28,277746,0,6,40,0
41,193459,0,10,50,0
30,122042,0,14,45,1
53,39643,0,9,58,0
33,392812,0,14,50,1
53,101238,0,10,40,1
53,230936,0,13,40,1
63,217994,0,10,40,0
60,123992,0,10,45,0
41,344624,0,10,40,1
36,220237,0,13,40,1
25,136357,0,9,40,0
49,194189,0,4,40,0
47,51835,0,15,60,1
32,113688,0,11,50,0
52,158746,0,9,40,0
44,173590,0,13,3,0
38,243872,0,13,70,1
45,34127,0,13,50,1
30,61989,0,10,5,0
42,136986,7688,9,50,1
43,105936,0,9,35,1
48,155664,0,15,60,1
29,197565,0,11,35,0
41,204410,0,9,44,1
24,227070,0,6,40,0
33,194901,0,11,42,1
19,27433,0,8,30,0
44,271282,0,13,56,0
72,243769,0,15,20,0
45,54744,0,10,40,1
22,210474,0,9,40,0
43,183273,15024,14,32,1
29,39388,0,9,40,0
40,147372,0,10,40,1
47,218435,0,9,20,0
39,199753,0,13,60,0
49,245305,0,6,42,1
27,35034,0,9,40,0
41,371382,0,10,40,1
27,135296,0,13,40,1
58,191318,15024,14,40,1
48,120131,8614,9,40,1
32,283268,0,6,42,0
45,126754,0,14,45,1
33,114691,0,9,50,0
37,213726,0,9,40,0
38,203169,0,11,50,1
50,109937,0,10,50,0
31,192565,0,14,90,1
59,384246,0,16,50,0
29,59932,0,13,40,0
21,317175,0,9,60,0
30,299507,0,12,40,0
38,357870,0,8,50,0
44,314739,0,10,40,1
23,39844,0,9,50,0
36,185366,0,10,40,0
42,256813,0,10,40,1
48,113612,0,13,40,1
47,165539,4101,9,40,0
51,133069,0,6,40,0
34,185408,0,10,40,0
34,216864,0,9,45,0
45,107231,0,9,55,0
22,200109,0,13,15,0
36,108103,0,9,50,0
52,181855,99999,15,65,1
43,220109,0,10,44,0
38,446654,0,5,40,0
27,183523,0,13,45,0
29,242597,0,13,40,0
31,196125,0,9,40,0
39,203204,0,12,25,1
51,293196,0,10,40,1
27,177351,0,13,45,0
39,36989,0,11,70,1
57,102058,0,14,40,1
31,206823,0,13,50,1
32,176253,0,10,40,0
20,342414,0,10,24,0
32,204374,0,15,60,1
53,124094,5013,9,35,0
45,111679,0,10,30,0
32,211751,0,11,40,0
40,345969,0,12,40,1
26,118523,0,9,40,0
62,197060,0,11,50,0
33,145437,0,9,43,0
27,159724,0,13,40,0
34,123429,0,10,60,0
40,262872,0,13,40,0
61,85194,0,10,25,0
39,376455,0,15,50,1
58,105239,0,9,40,0
45,44489,0,11,10,0
48,82098,0,10,65,0
31,39054,0,9,20,0
74,211075,0,9,30,0
56,110257,0,9,40,0
37,183898,0,10,40,1
38,179314,0,9,40,0
59,206487,0,10,40,1
34,450141,15024,13,35,1
22,29444,0,8,50,0
25,64671,0,9,40,0
25,111058,0,12,40,0
36,179488,7298,13,55,1
56,237546,0,10,99,0
19,197748,0,7,20,0
31,30290,0,9,40,0
35,357619,0,11,40,0
25,131178,0,9,23,0
48,70668,0,9,50,0
20,217467,0,10,40,0
29,351871,0,13,50,1
55,189528,0,4,60,0
29,439263,0,9,35,0
33,272359,7298,13,80,1
35,216711,0,9,40,1
35,100634,0,10,40,0
57,190942,0,2,30,0
38,298871,0,9,40,0
40,175398,0,11,20,0
53,141388,0,7,40,0
38,185053,0,14,20,1
49,98092,0,9,40,1
27,442612,0,9,65,1
55,100054,0,6,40,0
26,198986,0,9,40,0
36,206951,0,13,45,1
40,148316,0,9,40,0
23,106957,14344,7,40,1
39,334366,0,13,50,1
17,89259,0,7,15,0
37,175232,0,13,40,1
29,270379,0,9,40,0
27,30244,0,9,80,0
34,209317,0,9,40,0
26,245880,0,9,60,0
41,443508,99999,16,60,1
39,109766,15024,15,50,1
33,180551,0,9,40,0
